WbWb_4000_1000	120	0.6	0.4	0.85	6	4	85
WbWb_6000_2000	120	0.6	0.4	0.85	6	4	85
WbWb_8000_3000	120	0.6	0.4	0.85	6	4	85
WbZt_4000_1000	120	0.6	0.4	0.85	6	4	85
WbZt_6000_2000	120	0.6	0.4	0.85	6	4	85
WbZt_8000_3000	120	0.6	0.4	0.85	6	4	85
WbHt_4000_1000	120	0.6	0.4	0.85	6	4	85
WbHt_6000_2000	120	0.6	0.4	0.85	6	4	85
WbHt_8000_3000	120	0.6	0.4	0.85	6	4	85
ZtZt_4000_1000	120	0.6	0.4	0.85	6	4	85
ZtZt_6000_2000	120	0.6	0.4	0.85	6	4	85
ZtZt_8000_3000	120	0.6	0.4	0.85	6	4	85
HtHt_4000_1000	120	0.6	0.4	0.85	6	4	85
HtHt_6000_2000	120	0.6	0.4	0.85	6	4	85
HtHt_8000_3000	120	0.6	0.4	0.85	6	4	85
HtZt_4000_1000	120	0.6	0.4	0.85	6	4	85
HtZt_6000_2000	120	0.6	0.4	0.85	6	4	85
HtZt_8000_3000	120	0.6	0.4	0.85	6	4	85
